"Kod";"Nazwa";"urodzenia żywe na 1000 ludności;2021;[-]";"urodzenia żywe na 1000 ludności;2022;[-]";
1603000;"Powiat kędzierzyńsko-kozielski";6,89;6,51;
1604000;"Powiat kluczborski";7,30;7,24;
1605000;"Powiat krapkowicki";7,52;6,89;
1606000;"Powiat namysłowski";8,29;7,15;
1607000;"Powiat nyski";6,20;6,24;
1608000;"Powiat oleski";8,15;7,98;
1609000;"Powiat opolski";8,14;7,39;
1610000;"Powiat prudnicki";8,02;6,27;
1611000;"Powiat strzelecki";8,44;8,10;
1661000;"Powiat m. Opole";8,69;8,93;
1801000;"Powiat bieszczadzki";6,91;6,76;
1802000;"Powiat brzozowski";9,01;8,53;
1803000;"Powiat dębicki";9,34;8,39;
1804000;"Powiat jarosławski";7,97;7,77;
1805000;"Powiat jasielski";7,28;7,50;
1806000;"Powiat kolbuszowski";8,08;8,12;
1807000;"Powiat krośnieński";8,37;7,88;
1808000;"Powiat leżajski";8,60;8,77;
1809000;"Powiat lubaczowski";7,51;6,55;
1810000;"Powiat łańcucki";9,26;9,70;
1811000;"Powiat mielecki";9,28;8,74;
1812000;"Powiat niżański";7,82;6,86;
1813000;"Powiat przemyski";8,27;8,20;
1814000;"Powiat przeworski";8,71;8,43;
1815000;"Powiat ropczycko-sędziszowski";11,09;10,01;
1816000;"Powiat rzeszowski";9,94;8,96;
1817000;"Powiat sanocki";6,90;6,65;
1818000;"Powiat stalowowolski";6,86;6,12;
1819000;"Powiat strzyżowski";8,60;8,01;
1820000;"Powiat tarnobrzeski";7,85;7,81;
1821000;"Powiat leski";7,27;6,60;
1861000;"Powiat m. Krosno";7,28;6,94;
1862000;"Powiat m. Przemyśl";6,57;5,58;
1863000;"Powiat m. Rzeszów";10,63;9,64;
1864000;"Powiat m. Tarnobrzeg";6,01;5,98;
2001000;"Powiat augustowski";8,22;6,75;
2002000;"Powiat białostocki";8,78;8,17;
2003000;"Powiat bielski";8,11;6,80;
2004000;"Powiat grajewski";8,29;7,30;
2005000;"Powiat hajnowski";5,81;5,41;
2006000;"Powiat kolneński";8,45;9,11;
2007000;"Powiat łomżyński";8,73;8,17;
2008000;"Powiat moniecki";7,55;6,28;
2009000;"Powiat sejneński";6,53;7,36;
2010000;"Powiat siemiatycki";6,16;5,97;
2011000;"Powiat sokólski";7,15;7,00;
2012000;"Powiat suwalski";8,59;7,86;
2013000;"Powiat wysokomazowiecki";9,16;7,88;
2014000;"Powiat zambrowski";8,97;8,50;
2061000;"Powiat m. Białystok";10,37;9,19;
2062000;"Powiat m. Łomża";8,10;7,98;
