Kod;Nazwa;Urodzenia;Wynagrodzenia;Urbanizacja;Wydatki;Fem;Unemp;Ludnosc;Malzenstwa
1407000;Powiat kozienicki;7;108,5;27,4;19644119,03;103;10,3;62520;4,2
1408000;Powiat legionowski;8,52;90;44,5;43525920,16;107;5,5;91472;3,7
1409000;Powiat lipski;6,6;83,4;18,8;20193417,43;102;12,7;38743;4
1410000;Powiat _osicki;8,4;80;23,8;10658408,32;100;5,2;33553;4,2
1411000;Powiat makowski;9,46;81,9;27,6;23469292,09;101;16,4;47374;4,4
1412000;Powiat mi_ski;9,1;86,3;46,4;88057781,36;104;4,4;138248;4,1
1413000;Powiat m_awski;9,09;80,3;44,3;43332505,83;104;5,7;73762;4
1414000;Powiat nowodworski;8,84;112,4;49;22163494,71;105;5,9;75222;4
1415000;Powiat ostro__cki;9,24;84,4;3,7;19289939,61;97;9,1;83444;4,2
1416000;Powiat ostrowski;7,7;85,4;33,9;36197543,04;103;8,9;76347;3,9
1417000;Powiat otwocki;8,58;96,5;58,9;64256131,38;109;3,4;113704;3,9
1418000;Powiat piaseczy_ski;9,88;96,9;40,1;100282547,3;107;3,4;122127;3,9
1419000;Powiat p_ocki;8,06;86,1;8,4;24831363,5;101;10,6;105045;3,8
1420000;Powiat p_o_ski;8,18;84,4;35,6;66803350,38;104;10,3;88400;4,1
1421000;Powiat pruszkowski;9,02;112,1;57,8;56593753,55;110;2,2;141497;4
1422000;Powiat przasnyski;9,07;85,8;39,1;48623849,6;100;9;53543;4,2
1423000;Powiat przysuski;7,03;83;13,8;35792649,79;102;19,7;44875;4
1424000;Powiat pu_tuski;9,48;82,1;38;24324736,8;102;14,1;51155;4
1425000;Powiat radomski;8,82;80,7;19,2;32328115,58;102;16,4;142350;4,2
1426000;Powiat siedlecki;9,81;80,7;2;6855228,04;100;5;80876;4,6
1427000;Powiat sierpecki;7,48;82,1;35;28128564,96;102;11,5;54482;4,1
1428000;Powiat sochaczewski;8,98;104,3;40,4;60731286,29;106;3;83370;4,4
1429000;Powiat soko_owski;8,15;81,4;40,4;24110868,95;101;5,6;58453;4,4
1430000;Powiat szyd_owiecki;7,85;78,6;28,2;18682540,81;101;24,6;41119;3,8
1432000;Powiat warszawski zachodni;8,88;105,5;34,1;40722897,11;107;1,6;95499;3,5
1433000;Powiat w_growski;8,97;86,3;29,6;44399612,17;101;5,7;68988;4,4
1434000;Powiat wo_omi_ski;10,45;90,5;71;72771167;106;6,5;194113;4,2
